countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,189.963191,114.018766,69.651261,267.990905,325.313738,316.167742,257.3954095,147.1195107,80.13180988,467.8018933,472.7342598,440.5877982,0.059063,1.79,1.79,108.291892,147.1195189,,
ABW,1971,200.090287,120.097216,73.36441,282.276689,342.656291,333.022062,280.7887146,160.4904627,87.41455119,510.3179021,515.6985889,480.6305083,0.05944,1.79,1.79,114.065055,160.4904502,,
ABW,1972,210.755701,126.498761,77.274987,297.3251,360.921441,350.774853,306.3082082,175.0765368,95.35919984,556.6980628,562.5677956,524.31249,0.05984,1.79,1.79,120.145037,175.0765368,,
ABW,1973,221.991177,133.24241,81.394538,313.174406,380.161823,369.474014,334.1469237,190.9884144,104.0259839,607.2934998,613.6966889,571.9645524,0.060243,1.79,1.79,126.549975,190.9884092,,
ABW,1974,233.827536,140.346876,85.734332,329.86777,400.430937,389.169992,364.5156555,208.3463902,113.4801976,662.4871342,669.4721618,623.9474612,0.060528,1.79,1.79,133.297688,208.3463897,,
ABW,1975,246.285763,147.824451,90.30244,347.457154,421.768952,409.915927,397.6449431,227.2815391,123.7939099,722.6972373,730.3172476,680.6547757,0.060657,1.79,1.79,140.399482,227.2815586,,
ABW,1976,259.42084,155.70806,95.118329,365.974078,444.258715,431.767789,433.7845903,247.9386207,135.0453139,788.3795098,796.6922875,742.5159346,0.060586,1.79,1.79,147.887256,247.9386239,,
ABW,1977,273.259629,164.014998,100.192056,385.479025,467.955967,454.784533,473.2083118,270.4723454,147.3176395,860.0305268,869.0978834,809.9992891,0.060366,1.79,1.79,155.777338,270.4723605,,
ABW,1978,287.7864,172.733608,105.519719,406.055481,492.850897,479.028257,516.2181121,295.0521614,160.7077458,938.1954993,948.0882053,883.6159007,0.060103,1.79,1.79,164.056775,295.0521645,,
ABW,1979,303.180679,181.972411,111.162522,427.658911,519.18245,504.56437,563.1318995,321.8726877,175.3154783,1023.462996,1034.25518,963.9231258,0.05998,1.79,1.79,172.832924,321.8727068,,
ABW,1980,319.364991,191.690665,117.095585,450.455643,546.905243,531.461766,614.3092253,351.1228154,191.2407789,1116.476193,1128.243979,1051.529157,0.060096,1.79,1.79,182.064326,351.1228539,,
ABW,1981,336.166625,201.770021,123.263531,474.612577,575.767589,559.793013,670.1559602,383.0245115,208.6330187,1217.956169,1230.803414,1147.097132,0.060567,1.79,1.79,191.630126,383.024509,,
ABW,1982,354.482832,212.760789,129.966858,499.613246,606.922625,589.634546,731.0394419,417.8689241,227.599153,1328.644206,1342.655975,1251.350883,0.061345,1.79,1.79,202.079995,417.8689642,,
ABW,1983,373.288535,224.071792,136.863263,526.399602,639.27588,621.066876,797.4761867,455.8100158,248.2338839,1449.376965,1464.633609,1365.079654,0.062201,1.79,1.79,212.823693,455.8100083,,
ABW,1984,392.062502,235.300266,143.785774,555.137587,671.818442,654.174805,870.0461544,497.1976093,270.8886577,1581.168711,1597.885624,1489.144637,0.062836,1.79,1.79,223.449391,497.1975975,,
ABW,1985,415.636615,249.455614,152.343513,582.796733,710.869954,689.047657,948.9334053,542.6010636,295.4836658,1724.804569,1742.982119,1624.485213,0.063026,1.79,1.79,236.972764,542.6010993,,
ABW,1986,435.905984,261.742305,159.82678,615.687242,747.056232,725.779517,1035.257799,591.5823076,322.0564847,1881.478763,1901.173272,1772.12616,0.062644,1.79,1.79,248.605014,591.5822842,,
ABW,1987,518.590417,311.073218,190.346168,743.379836,890.200491,872.808399,1202.232962,686.6528712,374.5866763,2184.446341,2207.843902,2057.056284,0.061833,1.79,1.79,295.24898,686.6528879,,
ABW,1988,656.409092,393.994581,240.188144,893.984438,1116.460552,1067.598257,1424.860715,816.1908011,443.8314685,2591.083993,2618.12986,2440.669492,0.061079,1.79,1.79,374.652822,816.1907302,,
